State_Code,NIC_2digit,A_formal,w_for_mean,Q_out_mean,L_formal_total,N_firms,Year,w_inf_mean,N_informal,State_Name,E_s,ln_w_inf,ln_A_formal,ln_Q_out
04,13,7444.03030566925,195896.1508316642,0,229.66,1,2023-24,32.719141235999295,48,Chandigarh,0,3.487960265546576,8.915167688907703,0
04,14,1975019.8240113282,295754.4250025286,0,65.91333333333333,1,2023-24,30.262353663701617,155,Chandigarh,0,3.4099044866870702,14.496088993741074,0
05,13,1535945.7032126174,164039.68467084525,9.588060137469203e-6,26451.11333333333,22,2023-24,62.05970207019312,90,Uttarakhand,0.017837838,4.128096858335058,14.244656842593995,9.58801417224509e-6
05,14,842417.5646899807,156933.72691233348,0,4707.41,7,2023-24,39.848965522870714,29,Uttarakhand,0.017837838,3.6850964456237607,13.64403109035611,0
06,13,3913709.2984409537,169364.8420895589,1.327625536440479e-6,422152.87394405814,182,2023-24,42.019307935753815,28,Haryana,0.102930809,3.738129225403876,15.179996151936853,1.3276246551018686e-6
06,14,1675625.169932185,192158.26941269223,4.006879328505328e-5,414772.0393896683,151,2023-24,33.16122232202623,81,Haryana,0.102930809,3.5013811909274852,14.331696889386565,4.006799055245377e-5
07,13,1792476.383298007,255541.23013484295,0,7432.143333333333,22,2023-24,33.91634959961142,219,Delhi,0.079858334,3.523897187196493,14.399108676082092,0
07,14,1325782.4395837905,253462.74466059328,3.579043269546479e-5,50426.732000334865,74,2023-24,21.278052668348792,193,Delhi,0.079858334,3.0576761503401375,14.097513363554471,3.578979223327137e-5
08,13,2382408.5611530794,207097.27599076403,1.412816399506603e-5,398640.1728067471,176,2023-24,19.483161445473563,166,Rajasthan,0.166061376,2.969550576908582,14.68362253440487,1.4128064193584002e-5
08,14,1116450.597720443,178909.18046430097,1.4498245768021576e-6,185283.00162014426,162,2023-24,32.33374223520332,57,Rajasthan,0.166061376,3.4761113362048945,13.92566510183194,1.4498235258433187e-6
10,13,1424022.6957858151,102014.5972928451,0,8741.130000000001,8,2023-24,39.027031710641275,305,Bihar,0.014015512,3.664254526818046,14.168996308878885,0
10,14,1157001.7791829945,244131.4434808702,0,856.3066666666667,3,2023-24,41.335842243354364,112,Bihar,0.014015512,3.7217299745307835,13.961342543930028,0
13,13,411794.1666666667,50000,0,2.4,1,2023-24,15.607263844115908,37,Nagaland,0.052093023,2.747736436916073,12.92827890802301,0
14,13,355903.36805580667,68345.14972869681,0,94.98666666666668,3,2023-24,8.869002075720676,86,Manipur,1,2.2807571285939643,12.782414534942706,0
15,13,262692.4181172303,117570.08536141129,0,343.57666666666665,20,2023-24,53.71104672459504,192,Mizoram,0.375,3.983618692176457,12.478739113883819,0
15,14,197476.7503362812,103503.49216992504,0,619.0533333333333,20,2023-24,42.94322905784975,169,Mizoram,0.375,3.759878988921161,12.193376136577495,0
17,13,489297.9452054795,82105.4794520548,0,38.93333333333333,1,2023-24,54.28515275430297,225,Meghalaya,0.282131661,3.9942507596119365,13.100726877810967,0
18,13,1680987.5144445398,117825.76955701476,0,7452.256666666667,17,2023-24,47.953318487633005,76,Assam,0.164521693,3.870228006184642,14.334891984906024,0
18,14,981493.0149235448,129546.89361615255,0,87.74666666666667,2,2023-24,54.32819892799658,38,Assam,0.164521693,3.9950434094156795,13.796830175937256,0
20,13,2731869.5424036486,110713.36346379489,0,598.6933333333334,3,2023-24,30.957140271071054,27,Jharkhand,0.09673679,3.4326036759498364,14.820496746850257,0
20,14,567469.0280733947,129817.705683542,0,18747.56166666667,8,2023-24,42.684353531724724,15,Jharkhand,0.09673679,3.753832425255037,13.248941450766242,0
21,13,1046247.5879159521,124142.89977896848,0,6178.18,17,2023-24,15.941632065567173,59,Odisha,0.349385246,2.7689340561739177,13.860720595326487,0
21,14,459735.1277062509,106593.27044067897,0,25702.146666666667,3,2023-24,22.286112511502573,32,Odisha,0.349385246,3.103963727140458,13.038405793289181,0
22,13,1204237.2121271642,161322.46626464743,0,2802.7,14,2023-24,31.33228051615753,50,Chhatisgarh,0.206974128,3.4446488924892193,14.001356905484178,0
23,13,2603269.419478613,157617.8982970797,7.567399759513266e-6,194979.69333333333,80,2023-24,44.12100106674828,145,Madhya Pradesh,0.148540355,3.7869358837640763,14.772278682069922,7.5673711268642805e-6
23,14,1128498.090165659,157504.9860749991,0,19587.893333333333,14,2023-24,28.292082906009806,65,Madhya Pradesh,0.148540355,3.3425820095388055,13.936398182872907,0
24,13,2785197.5557426647,225735.05099542846,3.743855156790767e-5,884618.4463616542,470,2023-24,21.502305222232778,130,Gujarat,0.477071243,3.0681601490247363,14.839829364462418,3.7437850762933844e-5
24,14,1802219.2174007883,189854.6250517795,0,13422743.644998992,103,2023-24,57.17992553079683,24,Gujarat,0.477071243,4.046202884528799,14.40452936202707,0
27,13,6291214.906671717,256055.72043084216,8.662966129245214e-6,490709.6333427998,295,2023-24,32.228063775890966,4,Maharashtra,0.122546488,3.4728376188099435,15.463515594472238,8.662928606061443e-6
27,14,2829188.815165321,240747.64380940457,0,145111.45618777236,147,2023-24,12.172147457613722,5,Maharashtra,0.122546488,2.4991503464547495,14.8555005907802,0
28,13,1263864.7574954682,150661.06431640903,0,212251.44333333333,126,2023-24,25.494886878768018,32,Andhra Pradesh,0.155661116,3.2384779175005316,14.049684852312177,0
28,14,877169.7517186853,128993.70130970028,2.439650272392376e-5,96129.97666666667,23,2023-24,29.220660037723388,3,Andhra Pradesh,0.155661116,3.374875994627442,13.684455812166489,2.439620513417868e-5
29,13,1229034.5818803129,225728.73594699736,2.6403502211212246e-7,82893.86566666666,69,2023-24,18.260896629089434,33,Karnataka,0.403184386,2.9047619774163493,14.021739526378754,2.6403498721115817e-7
29,14,3108106.9102842007,194794.2937562092,2.2104774714382164e-5,970069.2789504966,141,2023-24,25.137444287597148,19,Karnataka,0.403184386,3.2243585387898857,14.949524388296403,2.210453040749415e-5
30,13,2431125.405083839,290057.0885596919,0,5264.656666666667,7,2023-24,13.580254875278394,2,Goa,0.196787149,2.608616890384351,14.70386483776942,0
30,14,311969.34984520124,177215.1702786378,0,6.46,1,2023-24,13.354916482296957,15,Goa,0.196787149,2.5918845928768484,12.650660224290347,0
32,13,685119.8724272429,170863.6256429994,0,70656.37083333333,90,2023-24,40.351427803597865,164,Kerala,0.24396477,3.6976267795570164,13.437349098178457,0
32,14,517578.5469417096,165592.86790550486,0,33287.83666666667,31,2023-24,56.30562467722614,222,Kerala,0.24396477,4.030794435612374,13.156916574133884,0
33,13,1422931.3091471994,133949.58619828726,2.746414421693098e-7,1882266.9873250676,843,2023-24,13.152064451158108,1,Tamil Nadu,0.31293779,2.5765787387852495,14.168229604049662,2.746414045410208e-7
33,14,915755.4094907,146754.65234270957,1.8150842802345668e-5,4072000.239114662,905,2023-24,27.815298224363634,11,Tamil Nadu,0.31293779,3.3255861651797787,13.727504587793366,1.8150678077768526e-5
34,13,1539735.8860471242,221054.3225265525,0,3720.786666666667,8,2023-24,33.10445670655743,61,Puducherry,0.163536418,3.4996679170220086,14.247121457114762,0
34,14,532211.2402070827,296034.77026752074,0,475.4266666666667,3,2023-24,22.683016581645017,50,Puducherry,0.163536418,3.121616476260376,13.184795757571548,0
36,14,979094.4799353977,149839.27725317678,0,15392.756666666666,12,2023-24,54.75260199897353,5,Telangana,0.260333371,4.002824892662735,13.794383423429627,0
